Regime_0,Regime_1,Regime_2
2.97051048294e-313,1.0,8.57730488788939e-45
1.0227122606558392e-07,0.9999918223982278,8.07533050274264e-06
0.9619754366622464,0.03802442446445997,1.3887323991083244e-07
4.489359598115004e-20,1.0,7.650991602258898e-17
0.9999999997378382,6.128074185423671e-12,2.560823729263267e-10
3.3210159389512204e-31,1.0,1.467207239327082e-16
0.9956812522876083,1.8690459357751458e-07,0.004318560807837579
6.518354712116468e-30,0.9995723912830583,0.0004276087169470283
5.773097264887127e-20,0.9999993569498222,6.430501263418807e-07
0.7320069594001897,0.2678256447309772,0.0001673958688020184
3.3805018274920822e-25,0.9994924046678282,0.0005075953321546444
0.00045746049232557275,0.9980357651817364,0.001506774325923197
1.699123229744523e-07,0.9999997049297216,1.251579685300664e-07
0.9999211440295599,7.872478015838393e-05,1.311902802712556e-07
7.809496384983695e-11,0.9999999986566763,1.265225821597961e-09
7.077123521264655e-45,0.9999999999987494,1.2828400995597564e-12
8.860581108166878e-16,0.9999953121287777,4.687871220663416e-06
6.107353236825076e-23,0.9999999997153282,2.8467931034991267e-10
0.9998800736016463,0.0001199263702769867,2.803717080098086e-11
5.4025575039850725e-06,0.9999945785545229,1.888798781336253e-08
0.00015311944996719112,0.9980719129551628,0.001774967594830523
4.4703450000642023e-13,0.9958733389548409,0.00412666104470633
3.368554037848501e-07,0.9995022212917501,0.0004974418528303285
7.16185898883752e-11,0.9995727760406821,0.00042722388765743184
3.340915422393237e-11,0.9990711916627126,0.0009288083038230338
0.0019548945364123546,0.9973955125288742,0.000649592934754315
2.308507742421806e-27,0.9996057944001153,0.0003942055998905981
1.747153892166145e-14,0.9983690389104282,0.001630961089536537
0.0013471532483403889,0.9940249702163234,0.0046278765353777755
0.054019557617557175,0.9431472297577977,0.0028332126246750394
1.5097049705590004e-15,0.99808788336693,0.0019121166330434282
0.0003267220871094251,0.9785575121212275,0.021115765791709318
8.352036093496753e-05,0.9655048199057811,0.034411659733320145
1.2592298193661862e-11,0.9878783262465889,0.012121673740853154
0.037187539095160434,0.9566553315459626,0.006157129358875883
8.385412210739326e-10,0.9970184732824162,0.0029815258790131236
1.2584567844381837e-07,0.9987877349039703,0.0012121392503468087
4.307963963354447e-08,0.999861571036,0.0001383858843848535
0.1157657249370787,0.8836524592966204,0.0005818157662534041
5.175608105102607e-31,0.9999999898216174,1.0178352971501734e-08
6.417506914761872e-09,0.9885701653162094,0.011429828266302296
0.0019503057472950378,0.009215201528211356,0.9888344927244541
1.7332436927518776e-14,0.002406992105222192,0.9975930078947233
7.73904037713003e-23,0.00013974488867193256,0.9998602551113257
2.1506163529150104e-47,2.3494446696887052e-18,1.0
6.414094754953364e-79,6.440075190397592e-36,1.0
2.0781792804703604e-55,2.119890133238099e-28,1.0
6.0035731932937115e-50,6.313947362865163e-09,0.9999999936860604
1.8449934701537674e-26,9.426784147774653e-05,0.9999057321585236
9.35304017862432e-15,5.7994712959014235e-05,0.9999420052870281
8.707971287660241e-29,1.2037032705447148e-10,0.9999999998796056
8.736288446108183e-84,2.716096139817897e-81,1.0
2.2154249370067923e-35,9.657966255425076e-06,0.9999903420337246
1.116604169845787e-30,1.4544168177196587e-11,0.9999999999854481
1.1082837482561606e-28,5.577710475127655e-13,0.9999999999994316
1.987117280961424e-30,6.287607176706629e-06,0.9999937123928786
3.76900596498486e-24,1.7168034648217576e-06,0.9999982831965284
1.5446489740828877e-37,6.8284773085462985e-09,0.9999999931715138
1.130912627870268e-30,9.659330559254619e-11,0.9999999999033662
6.046730582555042e-20,3.2920978001397017e-09,0.9999999967078566
8.563552763417388e-24,2.0535191925416334e-05,0.9999794648080814
2.368338308787034e-28,9.949010968517742e-05,0.9999005098902662
1.672506225168145e-09,0.003571749197393092,0.9964282491300771
1.2261888969041012e-23,2.7105305774729767e-05,0.9999728946942574
6.397164525655437e-16,0.0009889032732629465,0.9990110967267857
6.552588572727003e-09,4.516195255660947e-06,0.9999954772521237
4.1276647411358944e-13,1.6953176242553587e-05,0.9999830468233378
1.2034313322234506e-35,7.261069787280743e-09,0.9999999927389354
3.0850893316831916e-22,0.0014977857188272568,0.9985022142811437
1.2932505131739842e-32,1.6091380835685315e-07,0.999999839086185
7.653217405494194e-36,0.0006562790572016896,0.9993437209428169
7.131867890582238e-08,0.0030334389024339963,0.9969664897789089
3.6269769175214346e-08,0.15266767888506497,0.8473322848451739
2.4085123701285786e-20,0.9999551769500846,4.482304995393025e-05
0.9999151944826318,3.2644591944098116e-08,8.477287274711781e-05
1.2520390904396011e-15,0.9999450043213174,5.499567863259366e-05
4.7397881501156026e-07,0.777862014249237,0.2221375117719696
6.379210050265347e-05,0.011170125598290075,0.98876608230126
1.963139240318385e-13,8.788611310208093e-05,0.9999121138867355
6.672923163660141e-21,3.3755780591242505e-10,0.9999999996624638
1.2090832004147225e-15,5.850248172102285e-10,0.9999999994149675
4.526156640225818e-21,3.048362339148447e-08,0.9999999695163528
1.676849397633927e-16,1.863573019421811e-09,0.9999999981364454
4.939611144578827e-18,6.382785543680464e-07,0.9999993617214832
1.1946911548616887e-19,0.0025937652004871504,0.9974062347995154
9.442603166522096e-27,1.3463395264463904e-09,0.9999999986536068
2.6672568685667625e-21,0.000747235974914897,0.9992527640251078
7.598426360575514e-10,0.004535806229878537,0.9954641930102498
5.327652643919376e-07,0.0046140315010167,0.9953854357337598
1.7107261283400578e-11,0.002770727362299718,0.9972292726205654
2.8625715538703236e-07,0.004648200785426041,0.9953515129574192
1.481627506549934e-26,4.5123550184622594e-05,0.9999548764498383
1.1698133521523324e-09,2.014212116681608e-07,0.9999997974089389
5.530100260345472e-23,0.0012391233578102829,0.9987608766421823
2.2511234334692454e-08,8.393465163664632e-11,0.9999999774048549
6.247259510589356e-26,0.0006518039086685855,0.9993481960913263
1.0700311695067698e-14,2.754285702098037e-06,0.9999972457142535
